card_name,set_code,card_id,rarity
Summer Bloom,2X2,800500ea-5caf-5819-9c08-46717f0a1e4a,uncommon
Summer Bloom,6ED,b6fe306d-e1c0-50d7-90ca-dbec48e1a35d,uncommon
Summer Bloom,9ED,08c2f55b-eb4d-59b4-9bf9-ab3c5c700299,uncommon
Summer Bloom,POR,aa046c0b-61a0-5696-8c2d-3f4c8b79bdf5,rare
Summer Bloom,S99,e5218786-bc2b-5388-b9b0-b8cf8acf6bf3,rare
Summer Bloom,VIS,a9704fe2-d06b-534a-ba68-becddf99bd34,uncommon
Umezawa's Jitte,BOK,b9eb9778-51c7-5c12-8524-4aaaf14c68c3,rare
Umezawa's Jitte,PGPX,1061d758-e8b8-5851-8c98-d8258b5f55c5,rare
Umezawa's Jitte,PLST,f09743b7-c9ff-523f-b433-f26fff20f8f9,rare
Umezawa's Jitte,PRM,d17f1423-d5e8-5aaa-b436-861a5c077330,rare
Umezawa's Jitte,SLD,b3755d49-6c88-5d53-af96-94c627dcf454,rare
Umezawa's Jitte,TD0,91df211c-4ddd-5035-a629-85708aa1d634,rare
Umezawa's Jitte,V16,bce26340-ab20-57d5-9003-2b66a10cae83,mythic
Violent Outburst,ARB,a9f5cce0-fc4d-5b13-a782-5cd7587ade1f,common
Violent Outburst,SLD,72bae57c-765f-5afa-a919-2d4734afa1c1,rare
Dark Depths,2XM,51332a7a-56b3-5924-84e1-7f744cac6f49,mythic
Dark Depths,CSP,7a1aab33-99c6-5756-8f30-832f2e11bc67,rare
Dark Depths,DMR,0cfa9389-9cd7-517b-9f13-b2b0de54546f,mythic
Dark Depths,PLST,fea5beca-617a-583c-b7ce-2435843769fc,rare
Dark Depths,PUMA,b588b7bb-9af7-542a-9b56-f0a7f57d1190,mythic
Dark Depths,UMA,37eb9619-1516-5cba-a071-d20f18b26183,mythic
Dark Depths,V16,38fb3942-87fe-5bad-b681-b356a4cc407e,mythic
Fury,MH2,35b762b0-741a-544d-a178-bde5dd7712d2,mythic
Fury,PMH2,934879ac-dc79-5717-b2ac-a39f6642e911,mythic
Fury,PRM,cb300cfd-57ff-536c-95b4-fba1b8cfb66e,mythic
Faithless Looting,BRC,ef7a63d1-e635-55cc-bfa3-a769d08958e2,common
Faithless Looting,C14,08c07578-c6fe-5946-b308-3d10f417a62f,common
Faithless Looting,C15,3713c1af-e3ab-5d5b-8de2-994bfc9e8620,common
Faithless Looting,C19,91af5947-0613-5c2a-b77f-d8a37e027de4,common
Faithless Looting,C21,f63a79ff-e430-5b50-bced-a9485cfe575c,common
Faithless Looting,CM2,d0890dd3-8c37-5853-9e74-440b42e10c4d,common
Faithless Looting,CMM,aa7685d4-86c0-575d-99a8-383dc3314d7e,common
Faithless Looting,DDK,bf05a5bc-9422-5801-bdc4-c2938e36d1bb,common
Faithless Looting,DKA,8e1e236b-0e80-55b9-ac30-a52a7181807b,common
Faithless Looting,DMC,4ceff32b-aa96-53f3-9cb1-3a57f6cbaed8,common
Faithless Looting,EMA,983d0caa-dd1c-5f8d-a375-077187da315c,common
Faithless Looting,LCC,97fd817f-df79-5e23-8dab-81ddd17df126,common
Faithless Looting,LTC,4d829236-1a89-5446-bcc0-faf82d6f9d2a,common
Faithless Looting,PIDW,dfa1e9de-cdbb-59ff-92b3-7df86c3b2737,rare
Faithless Looting,PLST,c2b9df69-b417-555c-abe2-14437c933b53,common
Faithless Looting,PZ1,579b399b-da3b-5dc8-8b29-fce1eda7d42d,uncommon
Faithless Looting,SIS,5bd3c937-1420-5e74-9466-7ed46a7843ff,common
Faithless Looting,STA,0639be88-adee-5b9b-94d3-efcb6ff8542f,rare
Faithless Looting,UMA,ff3b25aa-8b4c-5b91-b0b1-0a8cfc16715a,common
Cloudpost,F10,78007587-115d-5d9a-96de-65a4aaaba9c5,rare
Cloudpost,MRD,50fdbbf5-d4f1-5fe8-920a-c9b663a6dd19,common
Cloudpost,PRM,2d795b38-a727-516b-bee4-1f2ccd989214,common
Cloudpost,WC04,c09c5c5a-2d6d-525b-9e1f-e00804420fd0,common
Green Sun's Zenith,2X2,60bd2419-35d8-505a-b8ba-d8a9f5c76d8b,rare
Green Sun's Zenith,EMA,4a9893ea-e327-5c46-810d-99903fd7a952,rare
Green Sun's Zenith,MBS,8a3a1680-762c-5b06-ac86-3b1dbb2b3bc3,rare
Green Sun's Zenith,V13,1c535260-9119-5411-8b3e-516efb708d0e,mythic
Hypergenesis,TSP,7e9e4e57-ef52-59b0-9a74-3bb4018e1450,rare
Hypergenesis,TSR,dc421abb-0000-5fb0-a68b-a85efa6c7f97,mythic
Mox Opal,2XM,71b15a22-9e76-585f-b10c-10394291d5d3,mythic
Mox Opal,J19,0b9ed960-c4b2-5bd7-b1b7-157ecea42422,mythic
Mox Opal,MM2,38428eaf-113e-5a41-b79f-5f738c9599ec,mythic
Mox Opal,MPS,f0e2805d-fa86-54b5-b778-c1e207d86ad6,special
Mox Opal,PRM,ce9df383-0a67-5dd8-b583-41c77d36a219,mythic
Mox Opal,SLD,94880280-4b33-5832-be36-dfa4bc94be22,mythic
Mox Opal,SOM,766bf6fd-1dbc-5892-89c6-b98c69641451,mythic
Second Sunrise,MRD,11c2e5a1-cfe9-549f-a32a-b2d60491ce72,rare
Second Sunrise,PLST,f269712d-4eda-5d04-bad4-091a48bdb735,rare
Mental Misstep,NPH,0f0c9ca6-9687-5454-8d54-2c91c5d49a17,uncommon
Mental Misstep,PEWK,1911afc1-ddcb-504c-8fad-514742c6eda9,mythic
Mental Misstep,PMEI,99e33efb-4f74-51b1-b8c8-38e52bf38def,rare
Mental Misstep,SLD,c2b80cb2-e06e-5214-b929-8d2569cb7496,rare
Tibalt's Trickery,KHM,d6ce0e70-92a3-5248-abdf-d9859aa80b6b,rare
Tibalt's Trickery,PKHM,d666384f-aeaa-5522-b33f-16ea61e2a172,rare
Tibalt's Trickery,PRM,7a38ca93-3a9a-57ad-8feb-0f0212d65a00,rare
Sensei's Divining Top,2X2,1a871666-a17b-51c4-9f96-8202311eaeb1,rare
Sensei's Divining Top,CHK,005d7725-aae9-516b-9b4d-59f6fdd2d686,uncommon
Sensei's Divining Top,EMA,3b24df41-5116-503a-82ad-ee292c94237f,rare
Sensei's Divining Top,PLST,a8392195-ab57-51fa-ad1b-fbf1d3d04bb7,rare
Sensei's Divining Top,PRM,fea08b4d-fb2c-5ac1-bd6e-d9e6d14b6366,rare
Sensei's Divining Top,V09,76603b1d-70d9-5dd5-b9f3-323051e1308e,mythic
Ancient Den,BRC,d22347c0-282c-570f-9712-5dc19fe8bb13,common
Ancient Den,C21,b7149c18-c334-5731-bff7-2e86626a8fe1,common
Ancient Den,HOP,7cf79e99-82d7-5b61-86a2-3df687438e50,common
Ancient Den,MRD,ddb39aed-2186-5a21-ba04-03343d362a58,common
Ancient Den,PLST,114b9212-85a9-5cef-badc-bdfaa6d45fdd,common
Ancient Den,SLD,6d8dde8f-6971-52e5-aa9c-98981d112697,rare
Ancient Den,TD2,b3be2082-3b62-5b13-8f9c-a41c3a5dd4e8,common
Ancient Den,TSR,dd081b5e-7f60-5e89-91ee-77d1b14ce5a9,special
Ancient Den,WC04,ab10ae36-18b4-543f-88aa-a6c40ee8df46,common
"Oko, Thief of Crowns",ELD,46153afe-5e05-5082-852a-648c03924bcf,mythic
"Oko, Thief of Crowns",PELD,3d8884e6-75a2-5422-98e0-44b155f71db7,mythic
"Oko, Thief of Crowns",PRM,bdb60241-5e6a-5e91-b05a-7ac239c13671,mythic
Lurrus of the Dream-Den,IKO,d15f90a4-afd5-57d0-b303-07e32be36648,rare
Lurrus of the Dream-Den,MUL,ec82b125-3db4-5a97-8ff9-603be9d41253,rare
Lurrus of the Dream-Den,PIKO,0abf663b-94e3-5d54-96ae-420220cdf96c,rare
Lurrus of the Dream-Den,PRM,2e8c7ff7-36a4-5875-8caa-512bf7ef3e5c,rare
Lurrus of the Dream-Den,Q06,9f2f8507-5194-5b91-9c34-91fcdf04029f,rare
Glimpse of Nature,CHK,b8aba793-aec1-56da-b2c5-be55deb63e26,rare
Glimpse of Nature,SLC,410ba456-1fb5-554b-969c-a012f5b3b37a,rare
